brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,clean_title,price,Accident_occured,Engine_capacity,Horse_Power
Ford,F-150 XLT,2023,2823.0,Gasoline,Automatic,Iconic Silver Metallic,Black,Yes,58504.0,NO,3.5,408.64558001415935
Chevrolet,Suburban RST,2021,52000.0,Gasoline,10-Speed A/T,Blue,Black,Yes,61000.0,NO,5.3,355.0
Hyundai,Elantra N Base,2022,11650.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,Yes,32300.0,NO,2.0,276.0
Nissan,Sentra SR,2016,96541.0,Gasoline,Automatic,Blue,Black,UNKNOWN,13998.0,NO,1.8,253.99096061009186
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500.0,Gasoline,A/T,Gray,Black,Yes,59995.0,NO,2.0,382.0
BMW,650 Gran Coupe i xDrive,2015,69000.0,Gasoline,8-Speed A/T,Gray,Black,Yes,25700.0,NO,4.4,445.0
Audi,Q5 2.0T Premium Plus,2017,81880.0,E85 Flex Fuel,8-Speed Automatic,Mythos Black Metallic,Black,Yes,21375.0,NO,2.0,275.44376792068033
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800.0,Gasoline,9-Speed A/T,Silver,Black,Yes,48000.0,NO,3.0,362.0
Dodge,Ram 1500 Laramie Mega Cab,2006,300183.0,Gasoline,A/T,Silver,Gray,Yes,10900.0,YES,5.7,345.0
BMW,i3 120Ah w/Range Extender,2020,35035.0,Hybrid,Automatic,Black,Black,UNKNOWN,24998.0,NO,3.5,368.18254284552495
Kia,Sorento SX,2011,171000.0,Gasoline,A/T,Black,Black,Yes,5999.0,NO,3.5,276.0
Lexus,LX 570 Base,2016,118700.0,Gasoline,8-Speed A/T,Black,Beige,Yes,46900.0,NO,5.7,383.0
Jeep,New Compass Trailhawk,2017,119000.0,Gasoline,A/T,Red,Black,Yes,15900.0,NO,2.4,180.0
BMW,340 i,2018,44261.0,Gasoline,Automatic,Gray,Black,UNKNOWN,33598.0,NO,3.0,339.83439567847563
Audi,A4 2.0T Premium Plus quattro,2012,125575.0,Gasoline,8-Speed A/T,Silver,Black,Yes,8999.0,NO,2.0,211.0
Hyundai,Tucson SE,2007,16200.0,Gasoline,A/T,Gold,Beige,Yes,8200.0,NO,2.7,173.0
BMW,Z4 sDrive28i,2014,70000.0,Gasoline,A/T,White,Beige,Yes,20000.0,YES,2.0,240.0
Bentley,Continental GTC Base,2011,20200.0,E85 Flex Fuel,6-Speed A/T,Black,Black,Yes,79950.0,NO,6.0,552.0
Honda,Passport Elite,2023,2978.0,Gasoline,Automatic,Lunar Silver Metallic,Gray,UNKNOWN,45498.0,NO,3.5,403.1444340071721
Dodge,Sprinter 2500,2007,189719.0,Diesel,5-Speed A/T,White,Gray,Yes,14000.0,YES,3.0,209.97697555579907
BMW,M850 i xDrive,2019,9949.0,Gasoline,Automatic,Blue,Black,UNKNOWN,75798.0,NO,4.4,425.70028384568104
Lucid,Air Grand Touring,2022,3552.0,Electric,1-Speed A/T,Red,Beige,Yes,119999.0,NO,0.0,536.0
Audi,A7 Premium,2012,54000.0,Gasoline,8-Speed A/T,Black,Brown,Yes,36880.0,YES,3.0,310.0
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351.0,Gasoline,Automatic,Black,Jet Black,Yes,43147.0,NO,5.3,434.44764399709857
MINI,Convertible John Cooper Works,2017,24280.0,Gasoline,6-Speed A/T,Black,Black,Yes,29000.0,YES,2.0,228.0
Toyota,Avalon Touring,2016,89148.0,Gasoline,A/T,Black,Black,Yes,17500.0,NO,3.5,268.0
Porsche,Cayenne Platinum Edition,2017,73043.0,Gasoline,8-Speed A/T,White,Black,Yes,30990.0,NO,3.6,300.0
Mercedes-Benz,AMG C 63 S,2017,60000.0,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,Yes,52500.0,YES,4.0,503.0
Honda,CR-V EX-L,2016,73549.0,Gasoline,Automatic CVT,Mountain Air Metallic,Black,UNKNOWN,20848.0,YES,2.4,288.6911353106898
Hummer,H2 Base,2005,110900.0,Gasoline,A/T,Gray,Black,Yes,19500.0,NO,6.0,325.0
Porsche,911 Carrera S,2013,39000.0,Gasoline,7-Speed A/T,Blue,Black,Yes,73000.0,NO,3.8,400.0
Mercedes-Benz,CLA-Class CLA 250,2016,120000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,Yes,19800.0,NO,2.0,208.0
Chrysler,300 Touring,2009,134602.0,Gasoline,Transmission w/Dual Shift Mode,Blue,Black,Yes,7500.0,NO,3.5,250.0
Nissan,Rogue SV,2023,1094.0,Gasoline,Automatic CVT,Caspian Blue,Light Gray,UNKNOWN,30999.0,NO,1.5,328.6696072582545
Audi,A3 2.0T,2010,83500.0,Gasoline,Transmission w/Dual Shift Mode,Silver,Black,Yes,6500.0,NO,2.0,200.0
Ford,Mustang GT Premium,2014,37060.0,Gasoline,6-Speed M/T,Black,Black,Yes,28500.0,NO,5.0,420.0
Acura,RL Technology,2010,97700.0,Gasoline,Transmission w/Dual Shift Mode,Blue,Beige,Yes,10995.0,NO,3.7,300.0
Volvo,XC90 Hybrid T8 R-Design,2018,40000.0,Plug-In Hybrid,Transmission w/Dual Shift Mode,Black,Black,Yes,42000.0,NO,2.0,400.0
Audi,R8 5.2 V10,2018,8940.0,Gasoline,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,UNKNOWN,144900.0,NO,5.2,472.60177478787045
Mercedes-Benz,GLK-Class GLK 350,2014,186000.0,Gasoline,A/T,Black,Beige,Yes,10000.0,YES,3.5,302.0
Toyota,C-HR LE,2021,13180.0,Gasoline,CVT-F,–,–,UNKNOWN,23998.0,NO,2.0,327.829995073429
Lexus,IS 350 Base,2014,104000.0,Gasoline,8-Speed A/T,Black,Black,Yes,21000.0,NO,3.5,306.0
BMW,X4 M40i,2023,8500.0,Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,Yes,67900.0,NO,3.0,382.0
BMW,M4 CS,2019,19069.0,Gasoline,Automatic,Alpine White,Anthracite,UNKNOWN,69998.0,NO,3.0,369.6549374265014
Cadillac,CT5 Premium Luxury,2023,6090.0,Gasoline,A/T,White,Beige,Yes,46900.0,NO,2.0,237.0
Lucid,Air Grand Touring,2022,4900.0,Electric,1-Speed A/T,Red,Black,Yes,99000.0,NO,0.0,536.0
Audi,A5 2.0T Premium Plus,2019,47523.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,Yes,31000.0,NO,2.0,248.0
Chrysler,300C SRT8,2006,43000.0,Gasoline,5-Speed A/T,Silver,Black,Yes,19995.0,YES,6.1,425.0
Bentley,Continental GT W12,2017,14684.0,Gasoline,8-Speed A/T,White,White,Yes,130000.0,NO,6.0,582.0
BMW,M4 Base,2019,57800.0,Gasoline,Transmission w/Dual Shift Mode,Black,Red,Yes,55999.0,NO,3.0,425.0
Toyota,GR Corolla Circuit Edition,2023,952.0,Gasoline,6-Speed M/T,Silver,Gray,Yes,49950.0,NO,1.6,300.0
Audi,RS 5 2.9T,2019,21240.0,Gasoline,8-Speed A/T,Black,Black,Yes,59950.0,YES,2.9,444.0
Porsche,Cayenne Base,2019,59338.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,Yes,42499.0,NO,3.0,335.0
Lamborghini,Huracan Tecnica Coupe,2023,255.0,Gasoline,Automatic,BLU ELEOS,Nero Ade,UNKNOWN,359991.0,NO,5.2,575.5007917180847
Maserati,Quattroporte S,2019,23230.0,Gasoline,8-Speed A/T,Black,Black,Yes,44999.0,NO,3.0,424.0
Jaguar,XF 35t R-Sport,2017,48000.0,Gasoline,A/T,Red,Black,Yes,30000.0,YES,3.0,340.0
Lexus,ES 330 Base,2005,41059.0,Gasoline,5-Speed A/T,White,Beige,Yes,11100.0,NO,3.3,225.0
Land,Rover Discovery Sport SE R-Dynamic,2020,21240.0,Gasoline,Automatic,White,Black,UNKNOWN,37998.0,NO,2.0,325.9185121563005
Porsche,Cayman GTS,2015,11500.0,Gasoline,7-Speed A/T,Silver,–,Yes,72000.0,NO,3.4,340.0
Genesis,G90 3.3T Premium,2021,9950.0,Gasoline,8-Speed A/T,Silver,Blue,Yes,53950.0,NO,3.3,365.0
Volkswagen,Golf R 20th Anniversary Edition,2023,633.0,Gasoline,6-Speed M/T,White,Black,Yes,47999.0,NO,2.0,315.0
Hyundai,Sonata Hybrid Limited,2015,66000.0,Hybrid,A/T,White,Gray,Yes,15900.0,YES,2.4,199.0
Audi,RS 7 4.0T Prestige,2014,59715.0,Gasoline,A/T,Gray,Black,Yes,45000.0,YES,4.0,560.0
BMW,740 Li,2012,85252.0,Gasoline,6-Speed A/T,Black,Black,Yes,18500.0,NO,3.0,326.0
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900.0,Hybrid,9-Speed A/T,Black,Black,Yes,80000.0,YES,3.0,362.0
BMW,M6 Base,2016,25500.0,Gasoline,7-Speed A/T,White,Black,Yes,55000.0,NO,4.4,560.0
Subaru,Forester 2.5 X,2004,210703.0,Gasoline,M/T,Green,Beige,UNKNOWN,2300.0,YES,2.5,165.0
Hyundai,Elantra N Base,2023,3800.0,Gasoline,6-Speed M/T,White,Black,Yes,34000.0,NO,2.0,276.0
Kia,Niro Plug-In Hybrid EX Premium,2022,36602.0,Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,Yes,31995.0,NO,1.6,309.84829856559554
Rivian,R1S Adventure Package,2023,2800.0,Electric,1-Speed A/T,White,Green,Yes,92000.0,NO,0.0,835.0
Aston,Martin DBS Superleggera,2021,2165.0,Gasoline,8-Speed Automatic,Black,Black,Yes,279950.0,NO,5.2,537.2725692825279
Mercedes-Benz,SLC 300 Base,2018,33000.0,Gasoline,9-Speed A/T,Red,Black,Yes,29900.0,YES,2.0,241.0
BMW,435 Gran Coupe i,2016,76009.0,Gasoline,8-Speed A/T,White,Beige,Yes,24950.0,NO,3.0,300.0
Jeep,Grand Cherokee Summit,2020,31349.0,Gasoline,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,UNKNOWN,39366.0,NO,5.7,450.6184314930488
Lexus,RC 350 Base,2015,48000.0,Gasoline,Transmission w/Dual Shift Mode,Orange,Red,Yes,32900.0,NO,3.5,306.0
BMW,525 i,2005,91420.0,Gasoline,6-Speed A/T,Black,Black,Yes,8900.0,NO,2.5,215.0
Toyota,Corolla LE,2003,124756.0,Gasoline,M/T,Beige,Beige,Yes,4995.0,YES,1.8,130.0
Cadillac,CT5-V Blackwing,2023,2415.0,Gasoline,10-Speed Automatic,Rift Metallic,Gray,UNKNOWN,104900.0,NO,6.2,520.5276074829762
GMC,Acadia SLT-1,2012,116226.0,Gasoline,6-Speed A/T,Black,Black,Yes,7900.0,NO,3.6,288.0
Lexus,LC 500 Base,2020,37869.0,Gasoline,10-Speed Automatic,Atomic Silver,Rioja Red,UNKNOWN,75950.0,NO,5.0,436.049756784907
BMW,i8 Base,2019,41500.0,Plug-In Hybrid,Transmission w/Dual Shift Mode,White,Black,Yes,86000.0,NO,1.5,369.0
Lexus,ES 300h Base,2013,87001.0,Hybrid,CVT Transmission,Gold,Beige,Yes,17995.0,NO,2.5,200.0
Cadillac,CT5-V V-Series,2022,4451.0,Gasoline,Automatic,Summit White,Jet Black,Yes,55655.0,YES,3.0,384.64449209786653
BMW,540 i xDrive,2020,27158.0,Gasoline,Automatic,Imperial Blue Metallic,Canberra Beige/Black,UNKNOWN,39998.0,NO,2.0,324.3393094660496
Chevrolet,Express 1500 Work Van,2014,139804.0,Gasoline,A/T,White,Gray,Yes,14500.0,YES,4.3,195.0
Jeep,Gladiator Rubicon,2022,27300.0,Gasoline,A/T,Green,Black,Yes,47500.0,NO,3.6,285.0
BMW,Z4 sDrive28i,2014,36812.0,Gasoline,Transmission w/Dual Shift Mode,White,Beige,Yes,27000.0,NO,2.0,240.0
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000.0,Gasoline,8-Speed A/T,Black,Black,Yes,18000.0,YES,3.0,340.0
Cadillac,XT4 Sport,2019,44500.0,Gasoline,9-Speed A/T,Blue,White,Yes,28900.0,NO,2.0,237.0
BMW,750 750i xDrive,2021,10917.0,Gasoline,Automatic,Black,Black,UNKNOWN,73998.0,NO,4.4,433.6843007734715
Bentley,Arnage R,2005,8332.0,Gasoline,4-Speed A/T,White,Beige,Yes,47350.0,NO,6.75,400.0
Lincoln,Aviator Reserve AWD,2020,51247.0,Gasoline,Automatic,Magnetic Gray Clearcoat,Roast,UNKNOWN,47698.0,NO,3.0,349.19763315471755
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,Yes,36500.0,NO,5.5,550.0
RAM,ProMaster 3500 High Roof,2021,147834.0,Gasoline,6-Speed Automatic,Bright White Clearcoat,Black,Yes,32662.0,NO,3.6,321.842142151454
Ford,Utility Police Interceptor Base,2013,105000.0,E85 Flex Fuel,A/T,White,Black,Yes,6600.0,YES,3.7,300.0
Audi,A5 2.0T Premium,2011,92203.0,Gasoline,Transmission w/Dual Shift Mode,Red,Beige,Yes,9995.0,NO,2.0,211.0
Nissan,GT-R Premium,2010,15600.0,Gasoline,Transmission w/Dual Shift Mode,White,Black,Yes,69500.0,NO,3.8,485.0
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700.0,Gasoline,Automatic,Fuji White,Ivory / Ebony,UNKNOWN,30775.0,YES,3.5,325.77448616044785
Toyota,Corolla LE,2010,72348.0,Gasoline,A/T,Red,Gray,Yes,9995.0,YES,1.8,132.0
Rivian,R1S Adventure Package,2023,2500.0,Electric,A/T,Green,White,Yes,94000.0,NO,0.0,835.0
Mercedes-Benz,C-Class C300 4MATIC,2022,13177.0,Gasoline,Automatic,White,Silk Beige/Black,UNKNOWN,44798.0,NO,2.0,341.4832214508442
Porsche,Cayenne E-Hybrid S,2016,96000.0,Plug-In Hybrid,Transmission w/Dual Shift Mode,White,Red,Yes,23000.0,YES,3.0,416.0
Chevrolet,Express 1500 Work Van,2011,93009.0,E85 Flex Fuel,4-Speed Automatic,Summit White,Medium Pewter,Yes,22495.0,NO,5.3,361.0132587320895
INFINITI,Q70h Base,2016,52750.0,Hybrid,7-Speed A/T,White,Black,Yes,28998.0,YES,3.5,360.0
Audi,A7 Premium Plus,2020,25361.0,Hybrid,Automatic,Typhoon Gray,Black,UNKNOWN,49998.0,NO,3.0,362.5692232781803
Audi,Q7 3.0T Premium Plus,2015,98527.0,Gasoline,8-Speed A/T,Black,Black,UNKNOWN,9995.0,YES,3.0,280.0
Lucid,Air Pure,2023,1300.0,Electric,A/T,Black,Gray,UNKNOWN,86900.0,YES,0.0,620.0
Chrysler,Pacifica Touring,2017,87305.0,Gasoline,9-Speed A/T,Silver,Black,Yes,9000.0,NO,3.5,321.62972048583833
Audi,TTS 2.0T Premium Plus,2012,72922.0,Gasoline,6-Speed A/T,White,Black,UNKNOWN,25999.0,YES,2.0,265.0
BMW,650 Gran Coupe i xDrive,2015,41000.0,Gasoline,8-Speed A/T,Black,Black,Yes,30000.0,NO,4.4,445.0
Subaru,Forester Premium,2021,42125.0,Gasoline,Automatic CVT,Crystal Black Silica,Black,Yes,27899.0,NO,2.5,332.8373230314919
Mercedes-Benz,AMG C AMG C 63,2016,62000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,Yes,40000.0,NO,4.0,469.0
Land,Rover LR3 HSE,2006,153843.0,Gasoline,6-Speed A/T,Red,Beige,Yes,9950.0,YES,4.4,300.0
BMW,X7 xDrive40i,2019,35248.0,Gasoline,Automatic,Arctic Gray Metallic,Black,UNKNOWN,53998.0,NO,3.0,356.0052976330808
Ford,Transit Connect XLT,2015,194454.0,Gasoline,6-Speed A/T,White,Black,Yes,9888.0,NO,2.5,169.0
Lexus,LX 570 Three-Row,2021,21000.0,Gasoline,Transmission w/Dual Shift Mode,White,Black,Yes,89999.0,NO,5.7,383.0
Porsche,911 Carrera S,2013,18494.0,Gasoline,7-Speed M/T,Black,Black,UNKNOWN,86900.0,YES,3.8,400.0
Dodge,Ram 2500 Laramie Quad Cab,2006,218000.0,Gasoline,4-Speed A/T,Red,Gray,Yes,12990.0,NO,5.7,330.0
Nissan,Armada SL,2021,67800.0,Gasoline,7-Speed A/T,Silver,Black,Yes,36500.0,YES,5.6,400.0
Porsche,Cayman Base,2014,79000.0,Gasoline,Transmission w/Dual Shift Mode,Red,Black,Yes,42999.0,YES,2.7,275.0
Mercedes-Benz,GLE 450 GLE 450,2022,24906.0,Hybrid,Automatic,Selenite Grey Metallic,Black,UNKNOWN,63998.0,NO,3.0,377.7055551557496
Chevrolet,Monte Carlo SS,2006,66840.0,Gasoline,A/T,White,Gray,Yes,12000.0,YES,5.3,303.0
BMW,M5 Base,2013,86000.0,Gasoline,Transmission w/Dual Shift Mode,Blue,White,Yes,32000.0,NO,4.4,560.0
Hyundai,Kona N Base,2023,654.0,Gasoline,8-Speed Automatic with Auto-Shift,Ultra Black,Black,Yes,34599.0,NO,2.0,347.42895696229243
Chevrolet,Monte Carlo SS,2005,75000.0,Gasoline,A/T,Black,Black,Yes,12500.0,NO,3.8,240.0
Land,Rover Range Rover Evoque Pure,2015,84000.0,Gasoline,9-Speed A/T,Beige,Black,Yes,22800.0,YES,2.0,240.0
Audi,S7 4.0T Premium Plus,2017,52500.0,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,Yes,39999.0,NO,4.0,450.0
GMC,Acadia SLT-1,2011,120000.0,Gasoline,6-Speed A/T,Silver,Gray,Yes,7500.0,NO,3.6,288.0
Alfa,Romeo Stelvio Ti Sport,2020,18665.0,Gasoline,8-Speed Automatic,Lunare White Metallic,Ice,Yes,35645.0,NO,2.0,325.81178863911373
Ferrari,FF Base,2016,19987.0,Gasoline,7-Speed A/T,Black,Brown,Yes,149900.0,NO,6.3,651.0
Kia,K900 5.0L,2017,36486.0,Gasoline,8-Speed A/T,Black,Beige,Yes,23950.0,YES,5.0,420.0
Ford,E150 XLT,2013,162100.0,E85 Flex Fuel,4-Speed A/T,Black,Gray,Yes,12500.0,NO,5.4,255.0
Tesla,Model 3 Performance,2022,13079.0,Electric,A/T,Black,White,Yes,47000.0,NO,0.0,455.0
Toyota,4Runner SR5,2022,28377.0,Gasoline,5-Speed Automatic,Silver,Gray,UNKNOWN,36999.0,NO,4.0,400.0463405526134
Subaru,Forester Base,2020,32744.0,Gasoline,CVT Transmission,Black,Gray,Yes,24000.0,NO,2.5,182.0
Porsche,Panamera 2,2012,54000.0,Gasoline,A/T,White,–,Yes,26000.0,YES,3.6,300.0
Toyota,Tacoma PreRunner,2008,202055.0,Gasoline,A/T,Silver,Gray,Yes,8500.0,YES,4.0,236.0
RAM,2500 Laramie,2019,65000.0,Diesel,6-Speed A/T,Black,Black,Yes,65000.0,NO,6.7,370.0
Kia,Sportage Nightfall,2022,9686.0,Gasoline,6-Speed Automatic,Hyper Red,Black,Yes,30990.0,NO,2.4,351.1638901790866
Cadillac,DTS Base,2010,49620.0,Gasoline,A/T,White,Gray,Yes,10499.0,NO,4.6,275.0
Toyota,Land Cruiser Base,1997,213000.0,Gasoline,4-Speed A/T,White,Beige,Yes,26500.0,NO,4.5,212.0
Nissan,GT-R Premium,2020,16010.0,Gasoline,A/T,White,Black,Yes,114000.0,NO,3.8,565.0
Lexus,NX 350 F SPORT Handling,2023,820.0,Gasoline,8-SPEED AT,Black,Black,UNKNOWN,51998.0,NO,2.4,367.8624847844876
Audi,Q7 45 Premium Plus,2021,68000.0,Gasoline,8-Speed A/T,Blue,Black,Yes,36499.0,NO,2.0,248.0
Lexus,LX 470 Base,1999,82000.0,Gasoline,A/T,White,Beige,Yes,25000.0,NO,4.7,230.0
GMC,Terrain SLE,2022,27352.0,Gasoline,9-Speed Automatic,Summit White,Jet Black,UNKNOWN,27785.0,NO,1.5,310.27088238014585
Ford,Escape Limited,2012,129000.0,Gasoline,A/T,White,Gray,Yes,7000.0,YES,2.5,171.0
Lexus,LS 460 L,2014,106731.0,Gasoline,8-Speed A/T,White,Beige,Yes,30000.0,YES,4.6,360.0
Ford,Expedition Platinum,2019,34672.0,Gasoline,10-Speed A/T,White,White,Yes,45500.0,NO,3.5,400.0
Chevrolet,Malibu LTZ,2010,55900.0,Gasoline,Transmission w/Dual Shift Mode,Beige,Beige,Yes,8950.0,NO,3.6,252.0
Audi,RS 7 4.0T quattro,2023,3158.0,Gasoline,1-Speed Automatic,Daytona Gray Pearl Effect,Black / Express Red,UNKNOWN,128900.0,NO,4.0,450.2103245617018
Audi,A5 2.0T Premium Plus,2015,82000.0,Gasoline,8-Speed A/T,White,Brown,Yes,17000.0,NO,2.0,220.0
Genesis,G70 2.0T,2023,4785.0,Gasoline,Automatic,Vik Black,Obsidian Black,Yes,42850.0,NO,2.0,348.8421723080028
Chevrolet,Trailblazer LS,2021,20497.0,Gasoline,9-Speed Automatic,Pacific Blue Metallic,Black,UNKNOWN,22999.0,NO,1.3,301.38771821876253
Scion,tC Base,2013,177600.0,Gasoline,6-Speed A/T,Silver,Black,Yes,7100.0,YES,2.5,180.0
Lincoln,MKZ Hybrid Base,2014,78568.0,Hybrid,A/T,Blue,Beige,Yes,15500.0,NO,2.0,188.0
Ford,Transit-350 XL,2018,95000.0,E85 Flex Fuel,A/T,White,Gray,Yes,43000.0,NO,3.7,275.0
Porsche,911 GT2 RS,2018,4529.0,Gasoline,7-Speed Automatic with Auto-Shift,Black,Black,Yes,417500.0,NO,3.8,521.4480584307021
Ford,Explorer Timberline,2021,25240.0,Gasoline,10-Speed Automatic,Gray,Ebony,UNKNOWN,39951.0,YES,2.3,339.493569263519
Volvo,XC90 3.2,2011,88300.0,Gasoline,A/T,Blue,Beige,Yes,11500.0,YES,3.2,235.0
Chevrolet,Avalanche LTZ,2013,98000.0,E85 Flex Fuel,6-Speed A/T,Silver,Black,Yes,27499.0,YES,5.3,320.0
Audi,TT RS 2.5T,2018,20675.0,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,Yes,76000.0,NO,2.5,400.0
Lincoln,Navigator L,2008,95000.0,Gasoline,A/T,Black,Black,Yes,10900.0,NO,5.4,300.0
Hyundai,Elantra GLS,2010,107000.0,Gasoline,4-Speed A/T,Blue,Blue,Yes,6250.0,YES,2.0,138.0
Audi,SQ5 3.0T Premium Plus,2016,60000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,Yes,24700.0,YES,3.0,354.0
Mitsubishi,Lancer Evolution GSR,2012,33000.0,Gasoline,5-Speed M/T,Black,Black,Yes,34999.0,NO,2.0,291.0
Tesla,Model Y Performance,2023,500.0,Electric,1-Speed A/T,Black,White,Yes,60000.0,NO,0.0,455.0
Mercedes-Benz,Maybach S S 600,2016,108500.0,Gasoline,7-Speed A/T,White,Beige,Yes,63500.0,NO,6.0,523.0
Nissan,GT-R Premium,2017,37800.0,Gasoline,Transmission w/Dual Shift Mode,Orange,Orange,Yes,149500.0,NO,3.8,565.0
Mercedes-Benz,GLS 550 Base 4MATIC,2018,74422.0,Gasoline,Automatic,Obsidian Black Metallic,Gray,UNKNOWN,44798.0,NO,4.7,388.23524061466924
Chevrolet,Blazer Premier,2019,55621.0,Gasoline,9-Speed Automatic,Silver Ice Metallic,Jet Black,UNKNOWN,34562.0,NO,3.6,360.1435026754443
Mazda,CX-9 Grand Touring,2021,46707.0,Gasoline,6-Speed Automatic,Sonic Silver Metallic,Black,Yes,32541.0,YES,2.5,332.323276889716
Ford,Expedition Max Limited,2022,26500.0,Gasoline,A/T,White,Beige,Yes,65900.0,NO,3.5,440.0
Nissan,Titan XD SV,2020,10001.0,Gasoline,9-Speed Automatic,Black,Black,Yes,47214.0,NO,5.6,461.16580109119786
Lexus,LX 570 Three-Row,2019,19050.0,Gasoline,8-Speed A/T,Black,Beige,Yes,76900.0,NO,5.7,383.0
Chevrolet,Traverse Premier,2020,52000.0,Gasoline,A/T,White,Black,Yes,35800.0,NO,3.6,310.0
Mercedes-Benz,Sprinter High Roof,2014,65000.0,Diesel,7-Speed A/T,Black,Black,Yes,54999.0,YES,3.0,188.0
BMW,X5 3.0i,2004,140000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Beige,Yes,6730.0,NO,3.0,225.0
Ford,Fusion SE,2018,75600.0,Gasoline,A/T,Blue,Black,Yes,14950.0,YES,1.5,181.0
Lincoln,MKZ Base,2015,117292.0,Gasoline,A/T,Beige,Beige,Yes,12000.0,NO,2.0,240.0
Ford,GT,2005,1897.0,Gasoline,Manual,White,–,UNKNOWN,429998.0,NO,5.4,524.379684014044
